City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,burang,30.25,81.1667,1.25,48,3,1.98,CN,1697336600
273,malindi,-3.2175,40.1191,25.72,88,67,2.83,KE,1697336601
274,taltal,-25.4,-70.4833,16.62,76,19,1.56,CL,1697336601
275,vuktyl,63.8567,57.3094,2.84,97,100,4.47,RU,1697336601
276,praia,14.9215,-23.5087,28.3,83,40,4.63,CV,1697336601
277,chibuto,-24.6867,33.5306,20.33,62,100,4.54,MZ,1697336601
278,kabalo,-6.05,26.9167,21.77,90,98,1.16,CD,1697336574
279,al hazm,16.1641,44.7769,22.11,26,7,0.61,YE,1697336602
280,xiva,41.3783,60.3639,2.99,35,94,3.42,UZ,1697336602
281,opuwo,-18.0607,13.84,20.15,27,100,2.53,NA,1697336603
282,turinskaya sloboda,57.6232,64.3858,1.7,85,13,3.13,RU,1697336603
283,qa'en,33.7265,59.1844,11.51,56,8,2.06,IR,1697336603
284,villa gesell,-37.2639,-56.973,11.35,82,43,5.59,AR,1697336479
285,richards bay,-28.783,32.0377,17.94,64,79,6.2,ZA,1697336430
286,fallon,39.4735,-118.7774,17.73,34,0,4.12,US,1697336604
287,vysokovsk,56.3167,36.55,14.2,83,100,5.53,RU,1697336604
288,touros,-5.1989,-35.4608,25.98,71,53,6.48,BR,1697336604
289,dmitrovsk-orlovskiy,52.505,35.1464,13.32,68,98,7.02,RU,1697336422
290,acapulco de juarez,16.8634,-99.8901,28.9,79,75,2.57,MX,1697336404
291,saint-francois,46.4154,3.9054,5.69,100,0,1.03,FR,1697336354
292,vorkuta,67.5,64.0,-1.22,92,100,3.61,RU,1697336605
293,bayanaul,50.7889,75.6956,4.2,94,100,6.34,KZ,1697336606
294,parabel',58.6978,81.4825,3.28,96,100,5.36,RU,1697336606
295,thomson,33.4707,-82.5046,19.79,80,0,3.6,US,1697336606
296,polyarnyy,69.1989,33.4478,2.23,97,100,15.18,RU,1697336606
297,constitucion,-35.3333,-72.4167,10.61,85,0,5.12,CL,1697336456
298,sarkand,45.41,79.9186,3.46,69,14,2.55,KZ,1697336607
299,vallenar,-28.5708,-70.7581,19.78,47,0,0.59,CL,1697336607
300,souillac,-20.5167,57.5167,18.21,88,20,3.09,MU,1697336607
301,mata-utu,-13.2816,-176.1745,27.52,75,20,7.76,WF,1697336608
302,awjilah,29.1081,21.2869,19.11,74,0,2.94,LY,1697336608
303,kerikeri,-35.2268,173.9474,20.54,48,60,4.31,NZ,1697336520
304,mayuge,0.4597,33.4803,18.63,82,100,1.16,UG,1697336608
305,yeed,4.55,43.0333,26.47,71,77,5.54,SO,1697336609
306,kodiak,57.79,-152.4072,7.73,66,75,4.12,US,1697336609
307,pochinok,54.4068,32.4407,11.52,85,100,3.09,RU,1697336609
308,coquimbo,-29.9533,-71.3436,12.85,94,20,1.03,CL,1697336597
309,gaigeturi,33.4644,126.3183,21.03,60,40,5.66,KR,1697336609
310,rongelap,11.1635,166.8941,28.53,74,90,3.54,MH,1697336610
311,keflavik,64.0049,-22.5624,5.24,100,100,6.69,IS,1697336610
312,kargasok,59.0556,80.8572,4.42,96,100,6.26,RU,1697336610
313,kolda,12.8833,-14.95,25.19,83,99,1.58,SN,1697336611
314,avarua,-21.2078,-159.775,23.03,78,75,4.63,CK,1697336611
315,inari,68.906,27.0288,0.11,98,100,6.77,FI,1697336611
316,eynesil,41.0645,39.1438,17.88,50,94,3.22,TR,1697336611
317,acarau,-2.8856,-40.12,26.15,82,45,8.38,BR,1697336532
318,mahdia,35.5047,11.0622,18.97,60,0,3.66,TN,1697336612
319,qashyr,53.0675,76.1036,7.52,81,100,5.55,KZ,1697336612
320,cabo san lucas,22.8909,-109.9124,28.67,73,0,5.14,MX,1697335815
321,san rafael,-34.6177,-68.3301,19.33,25,3,2.65,AR,1697336612
322,osakarovka,50.565,72.5692,5.36,84,96,6.93,KZ,1697336613
323,lagunas,-5.2269,-75.6753,21.98,96,69,0.85,PE,1697336613
324,sabang,5.8933,95.3214,27.43,78,100,5.22,ID,1697336613
325,kurumkan,54.3,110.3,1.74,75,35,3.13,RU,1697336613
326,margate,51.3813,1.3862,8.26,75,2,2.68,GB,1697336613
327,mayya,61.7333,130.2811,-5.38,57,5,2.98,RU,1697336614
328,rampachodavaram,17.45,81.7667,25.95,78,17,0.73,IN,1697336614
329,glace bay,46.1969,-59.957,10.09,95,100,3.09,CA,1697336614
330,nizhnyaya omka,55.4338,74.9426,5.85,88,86,3.47,RU,1697336614
331,farsan,32.2569,50.561,4.02,54,0,1.78,IR,1697336615
332,del rio,29.3627,-100.8968,27.06,24,100,2.57,US,1697336488
333,saint augustine beach,29.8505,-81.2654,22.79,83,0,0,US,1697336615
334,enewetak,11.3474,162.3373,28.69,72,76,4.03,MH,1697336615
335,happy valley-goose bay,53.3168,-60.3315,9.17,87,100,10.8,CA,1697336616
336,tsiombe,-25.3,45.4833,21.3,90,7,1.78,MG,1697336616
337,puerto deseado,-47.7503,-65.8938,8.32,75,2,4.9,AR,1697336616
338,lazaro cardenas,17.9583,-102.2,27.09,87,95,2.65,MX,1697336616
339,saga,33.2493,130.2988,21.97,60,40,4.12,JP,1697336617
340,westport,41.1415,-73.3579,10.9,90,100,2.57,US,1697336337
341,bahawalnagar,30.5508,73.3908,23.58,44,0,2.79,PK,1697336617
342,susuman,62.7833,148.1667,-9.45,83,100,0.89,RU,1697336617
343,dauphin,51.1494,-100.0502,6.08,87,40,2.06,CA,1697336618
344,sisimiut,66.9395,-53.6735,-4.24,76,38,4,GL,1697336618
345,mersa matruh,31.3525,27.2453,21.11,73,20,4.12,EG,1697336618
346,k'olito,7.3167,38.0833,15.59,82,89,2.66,ET,1697336618
347,murghob,38.1702,73.9667,-0.91,34,29,1.04,TJ,1697336618
348,dryden,49.7833,-92.7503,4.16,87,0,2.57,CA,1697336619
349,lamballe,48.4676,-2.5144,10.06,58,90,2.94,FR,1697336619
350,ghat,24.9647,10.1728,22.79,26,1,1.44,LY,1697336619
351,kavaratti,10.5669,72.642,26.25,83,100,5.55,IN,1697336619
352,portland,45.5234,-122.6762,16.16,89,100,1.54,US,1697336217
353,lerwick,60.1545,-1.1494,5,69,100,11.97,GB,1697336620
354,tocoa,15.6833,-86.0,25.73,97,20,1.13,HN,1697336620
355,fort mcmurray,56.7268,-111.381,8.77,61,0,4.12,CA,1697336620
356,luderitz,-26.6481,15.1594,12.73,97,17,1,NA,1697336620
357,khoyniki,51.8911,29.9552,12.95,74,42,2.76,BY,1697336621
358,guerrero negro,27.9769,-114.0611,19.65,86,13,6.24,MX,1697336621
359,mapastepec,15.4333,-92.9,26.27,94,100,1.2,MX,1697336621
360,chonchi,-42.6128,-73.8092,7.84,96,33,1.42,CL,1697336621
361,kuta,-8.7233,115.1723,28.97,79,40,2.68,ID,1697336622
362,waingapu,-9.6567,120.2641,31.18,53,95,6.43,ID,1697336622
363,mejit,10.2753,170.8646,28.08,75,23,3.89,MH,1697336622
